================================================================================
个人中心未翻译字符串详细清单
================================================================================


【会员账号相关】(24 项)
------------------------------------------------------------
  行 3037, 3040, 3063 | 未登录
  行 3045            | 免费用户
  行 3084, 3097, 4414 | 加入VIP会员群
  行 3297            | • 免费用户：每天 3 次 AI智能规划配额
  行 3298            | • Pro会员：每天 20 次 AI智能规划配额
  行 3302            | • 加入专属VIP会员群，获取更多支持
  行 3328            | 处理登录成功
  行 3334            | 您当前是免费用户。升级高级版可解锁更多功能。
  行 3336            | 您是高级版用户，可以使用所有功能。
  行 3338            | 您是终身会员，尊享所有高级功能。
  行 3346            | 用户
  行 3355            | 处理退出登录按钮点击
  行 3423            | 是否前往个人中心登录？
  行 3464            | 配额用尽对话框中用户请求升级会员
  行 3818            | 创建会员合伙人卡片（右侧，特殊样式）
  行 3984            | 显示会员合伙人邀请函弹窗
  行 4110            | >此次会员合伙人招募，<b style=
  行 4212            | 创建会员提示区域
  行 4254            | 创建会员方案详细对比表
  行 4423            | 【会员权益】
  行 4935, 4936      | [STRIPE] 用户信息 - user_id: {user_id}, email: {email}
  行 4939            | 用户信息不完整，请重新登录
  行 4973            | 支付成功后，会员权益将自动激活。
  行 5648            | 加载用户自定义模板

【套餐价格相关】(11 项)
------------------------------------------------------------
  行 3081            | 有效期30天
  行 3093            | 节省 40%
  行 3094            | 有效期365天
  行 3105            | 一次购买,终身可用
  行 3481            | 创建简单的套餐卡片
  行 3534            | 创建年度卡片（中间，突出显示）
  行 3701            | 创建月度卡片（普通样式）
  行 4428            | 有效期
  行 4546            | 处理套餐卡片点击
  行 4929            | [STRIPE] 开始创建Stripe支付会话 - 套餐: {plan_id}
  行 5000            | 处理套餐按钮点击 - 显示支付方式选择对话框

【功能特性描述】(23 项)
------------------------------------------------------------
  行 3084, 3097, 3107 | 所有免费功能 +
  行 3084, 3097, 3107 (+1) | 统计报告分析
  行 3084, 3097, 3107 | 去除进度条水印
  行 3084, 3097, 3107 (+1) | 番茄时钟
  行 3084, 3097, 3107 (+1) | 数据云同步
  行 3084, 3097, 3107 (+1) | 场景系统
  行 3084, 3097, 4405 | 抢先体验新功能
  行 3107            | 33%引荐返现比例
  行 3107            | 优先体验所有新功能
  行 3107            | 专属1v1咨询服务
  行 3299            | • 数据云同步：自定义模板和历史统计同步到云端
  行 3301            | • 优先获取新功能和更新
  行 4074            | >当你看见那条进度条一点点推进，看见今天已经过去了63%，看见
  行 4115            | 进度条让我第一次感受到
  行 4293            | 功能特性
  行 4332            | 【核心功能】
  行 4337            | 每日进度条显示
