============================================================
GaiYa 启动性能完整报告
============================================================

总导入时间: 0.81秒

============================================================
Top 100 最耗时的函数调用
============================================================

         529571 function calls (515383 primitive calls) in 0.812 seconds

   Ordered by: cumulative time
   List reduced from 2026 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.001    0.000    0.993    0.023 __init__.py:1(<module>)
        2    0.004    0.002    0.815    0.408 main.py:1(<module>)
    307/1    0.002    0.000    0.812    0.812 <frozen importlib._bootstrap>:1165(_find_and_load)
    306/1    0.001    0.000    0.812    0.812 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    292/1    0.001    0.000    0.812    0.812 <frozen importlib._bootstrap>:666(_load_unlocked)
    240/1    0.001    0.000    0.812    0.812 <frozen importlib._bootstrap_external>:934(exec_module)
    639/2    0.000    0.000    0.811    0.405 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    285/1    0.004    0.000    0.811    0.811 {built-in method builtins.exec}
    54/26    0.000    0.000    0.537    0.021 {built-in method builtins.__import__}
        1    0.000    0.000    0.484    0.484 auth_client.py:1(<module>)
   106/50    0.000    0.000    0.442    0.009 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        2    0.000    0.000    0.237    0.118 api.py:1(<module>)
        1    0.000    0.000    0.228    0.228 sessions.py:1(<module>)
        1    0.000    0.000    0.226    0.226 adapters.py:1(<module>)
        1    0.215    0.215    0.215    0.215 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      303    0.003    0.000    0.151    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      271    0.000    0.000    0.146    0.001 <frozen importlib._bootstrap_external>:1499(find_spec)
      271    0.001    0.000    0.145    0.001 <frozen importlib._bootstrap_external>:1467(_get_spec)
     1362    0.138    0.000    0.138    0.000 {built-in method nt.stat}
      623    0.006    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
     1296    0.001    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       18    0.000    0.000    0.106    0.006 <frozen importlib._bootstrap_external>:1239(exec_module)
       18    0.005    0.000    0.106    0.006 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.105    0.105 __init__.py:41(_setupQtDirectories)
